,GC-1,GC-2,GC-3,GC-4,GC-5,GC-6,GC-7,GC-8
163,0.101,0.159,0.876,0.49,0.362,0.2289999999999999,0.114,0.2339999999999999
164,0.076,0.132,0.6,0.6579999999999999,0.4549999999999999,0.208,0.098,0.473
165,0.114,0.137,2.243,0.6479999999999999,0.581,0.225,0.125,0.533
166,0.153,0.085,0.508,0.753,0.3775,0.088,0.108,0.1659999999999999
167,0.3399999999999999,0.089,0.798,0.431,0.413,0.037,0.127,0.138
168,0.335,0.163,0.219,0.4009999999999999,0.336,0.1139999999999999,0.103,0.138
169,0.777,0.187,1.263,0.514,0.4489999999999999,0.097,0.104,0.112
170,0.4609999999999999,0.272,0.224,0.379,0.432,0.086,0.131,0.126
171,0.354,0.251,0.313,0.267,0.386,0.073,0.1159999999999999,0.138
172,0.111,0.239,0.2329999999999999,0.296,0.3319999999999999,0.094,0.131,0.133
173,0.216,0.119,0.789,0.156,0.49,0.053,0.103,0.0829999999999999
174,0.153,0.146,0.332,0.249,0.482,0.191,0.137,4.907
175,0.118,0.216,0.564,0.2229999999999999,0.5619999999999999,0.706,0.126,5.35
176,0.213,0.095,0.263,0.161,0.612,0.88,0.086,0.133
177,0.163,0.1699999999999999,0.776,0.173,0.552,0.944,0.1669999999999999,0.215
178,0.456,0.143,0.395,0.155,1.022,2.722,0.134,0.148
179,0.065,0.192,0.446,0.2239999999999999,0.966,2.906,0.1,0.092
180,0.29,0.16,0.455,0.162,0.836,1.378,0.096,0.145
181,0.19,0.128,0.269,0.1959999999999999,0.873,1.349,0.156,0.109
182,0.265,0.232,0.285,0.162,0.893,1.38,0.129,0.147
183,0.349,0.204,0.296,0.162,0.762,2.321,0.064,0.1709999999999999
184,0.174,0.212,0.5489999999999999,0.158,0.873,1.211,0.087,0.108
185,0.19,0.191,0.238,0.168,0.826,3.935,0.131,0.076
186,0.199,0.255,0.354,0.129,0.741,1.431,0.1,0.144
187,0.184,0.238,0.5880000000000001,0.185,0.952,0.987,0.14,0.061
188,0.189,0.155,0.283,0.158,1.062,0.773,0.1159999999999999,0.12
189,0.16,0.208,0.309,0.115,1.164,0.6020000000000001,0.132,0.118
190,0.289,0.143,0.355,0.1,1.346,0.478,0.161,0.242
191,0.211,0.241,0.426,0.143,1.333,0.276,0.163,0.189
192,0.288,0.102,0.38,0.181,1.1469999999999998,0.229,0.1399999999999999,0.129
193,0.215,0.049,0.501,0.172,1.1840000000000002,0.2279999999999999,0.169,0.101
194,0.742,0.199,0.597,0.147,0.994,0.196,0.274,0.206
195,0.173,0.198,1.474,0.1325,1.055,0.321,0.359,0.164
196,0.246,0.162,1.1989999999999998,0.092,0.889,0.261,0.275,0.18
197,0.428,0.1389999999999999,0.312,0.215,0.902,0.436,0.331,0.127
198,0.3379999999999999,0.242,0.318,0.3289999999999999,0.774,0.478,0.385,0.185
199,0.202,0.292,0.226,0.293,0.7050000000000001,0.632,0.293,0.099
200,0.1609999999999999,0.191,0.237,0.413,0.651,0.574,0.397,0.298
201,0.147,0.248,0.267,0.4185,0.777,0.78,0.244,0.201
202,0.121,0.305,0.276,0.438,0.6990000000000001,0.6619999999999999,0.383,0.208
