"","time","GC1_PM2_5","GC2_PM2_5","GC3_PM2_5","GC4_PM2_5","GC5_PM2_5","GC6_PM2_5","GC7_PM2_5","GC8_PM2_5","GC9_PM2_5","GC10_PM2_5"
"81",2024-02-23 16:10:00,0,0.014,0,0,0.018,0.034,0.01,0.026,0,0
"82",2024-02-23 16:20:00,0,0,0,0,0,0,0,0.004,0,0
"83",2024-02-23 16:30:00,0,0,0,0,0.008,0,0,0,0,0
"84",2024-02-23 16:40:00,0,0.042,0.01,0,0,0,0,0.078,0,0
"85",2024-02-23 16:50:00,0,0,0,0,0.0383333333333333,0,0,0.015,0,0
"86",2024-02-23 17:00:00,0,0,0,0,0,0,0,0,0,0
"87",2024-02-23 17:10:00,0.03,0,0.096,0,0,0,0,0.028,0.008,0
"88",2024-02-23 17:20:00,0,0,0,0,0,0,0,0.042,0,0
"89",2024-02-23 17:30:00,0,0,0,0,0,0,0,0,0,0
"90",2024-02-23 17:40:00,0,0,0,0,0,0,0,0,0,0
"91",2024-02-23 17:50:00,0,0,0,0.014,0,0,0,0,0,0
"92",2024-02-23 18:00:00,0,0,0,0,0,0,0,0,0,0
"93",2024-02-23 18:10:00,0,0,0,0,0,0,0,0,0,0
"94",2024-02-23 18:20:00,0,0,0,0,0,0,0,0,0,0
"95",2024-02-23 18:30:00,0,0,0,0,0,0,0,0,0,0
"96",2024-02-23 18:40:00,0,0,0,0,0,0,0,NA,0,0
"97",2024-02-23 18:50:00,0,0,0,0.00833333333333333,0,0,0,0,0,0
"98",2024-02-23 19:00:00,0,0,0,0,0,0,0,0,0,0
"99",2024-02-23 19:10:00,0,0,0,0,0,0,0,0,0,0
"100",2024-02-23 19:20:00,0,0,0.038,0,0,0,0,0,0,0.036
"101",2024-02-23 19:30:00,0,0,0,0,0,0,0,0,0,0
"102",2024-02-23 19:40:00,0,0,0,0,0,0,0,0,0,0
"103",2024-02-23 19:50:00,0,0,0,0,0,0,0,0,0,0.04
"104",2024-02-23 20:00:00,0,0,0,0,0,0,0,0,0,0
"105",2024-02-23 20:10:00,0,0,0,0,0,0,0,0,0,0
"106",2024-02-23 20:20:00,0,NA,0,0,0,0,0.028,0,0,0
"107",2024-02-23 20:30:00,0,0,0,0,0,0,0,0,0,0
"108",2024-02-23 20:40:00,0,0,0,0.028,0.034,0,0,0,0,0
"109",2024-02-23 20:50:00,0,0,0,0,0,0,0,0,0,0
"110",2024-02-23 21:00:00,0,0,0,0,0,0,0,0.014,0,0
"111",2024-02-23 21:10:00,0,0,0,0,0,0,0,0.146,0,0
"112",2024-02-23 21:20:00,0,0,0,0,0.018,0,0,0,0,0
"113",2024-02-23 21:30:00,0,0,0,0,0,0,0,0.02,0,0
"114",2024-02-23 21:40:00,0,0,0,0,0,0,0,0.006,0,0
"115",2024-02-23 21:50:00,0,0,0,0,0.022,0,0,0.086,0.04,0
"116",2024-02-23 22:00:00,0,0,0,0,0.02,0.014,0,0.026,0,0
"117",2024-02-23 22:10:00,0,0,0,0,0,0.008,0,0,0,0
"118",2024-02-23 22:20:00,0,0,0,0,0,0,0,0,0,0
"119",2024-02-23 22:30:00,0,0,0,0,0.022,0.036,0,0,0,0
"120",2024-02-23 22:40:00,0,0.018,0.068,0,0.062,0.046,0,0,0,0
"121",2024-02-23 22:50:00,0,0,0.015,0,0.0266666666666667,0,0,0,0,0
"122",2024-02-23 23:00:00,0,0,0,0,0,0,0,0.076,0,0.034
"123",2024-02-23 23:10:00,0,0,0,0.0266666666666667,0.016,0,0,0,0,0
"124",2024-02-23 23:20:00,0,0,0,0,0,0,0,0.006,0,0
"125",2024-02-23 23:30:00,0,0,0,0,0,0.016,0,0.028,0,0
"126",2024-02-23 23:40:00,0,0,0,0,0,0,0,0.008,0,0
"127",2024-02-23 23:50:00,0,0,0,0,0,0,0,0,0,0
"128",2024-02-24,0.036,0.082,0.054,0.018,0.08,0.082,0.042,0.15,0.064,0.068
"129",2024-02-24 00:10:00,0.016,0.016,0,0,0.052,0.01,0,0.116,0.076,0.004
"130",2024-02-24 00:20:00,0.471666666666667,0.764,0.712,0.516,0.67,0.596,0.606,0.832,0.814,0.622
"131",2024-02-24 00:30:00,0.398,0.502,0.468,0.332,0.608,0.504,0.318,0.602,0.484,0.394
"132",2024-02-24 00:40:00,0,0.0483333333333333,0,0.01,0,0,0,0.046,0,0
"133",2024-02-24 00:50:00,0.036,0.034,0.074,0.106,0.06,0.082,0.068,0.092,0.082,0.095
"134",2024-02-24 01:00:00,0,0.038,0,0,0.015,0.038,0,0.0183333333333333,0,0
"135",2024-02-24 01:10:00,0.104,0.174,0.098,0.114,0.152,0.186,0.156,0.318,0.096,0.098
"136",2024-02-24 01:20:00,0.13,0.248,0.196,0.258,0.34,0.25,0.318,0.394,0.472,0.238
"137",2024-02-24 01:30:00,0.398,0.534,0.386,0.54,0.594,0.438,0.436,0.768,0.764,0.55
"138",2024-02-24 01:40:00,0.842,0.7775,0.838,0.706,1.074,0.606,0.99,1.122,0.956,0.818
"139",2024-02-24 01:50:00,0.878,NA,1.22,1.18,1.23,1.118,1.12,1.28,1.05,0.856
"140",2024-02-24 02:00:00,1.756,2.67,1.774,1.516,2.206,2.076,2.264,2.084,2.23,1.836
"141",2024-02-24 02:10:00,2.004,1.972,2.212,1.996,2.37,2.004,1.86,2.706,2.354,1.842
"142",2024-02-24 02:20:00,1.79333333333333,1.972,2.108,1.862,2.194,1.862,1.92,2.44,2.262,1.974
"143",2024-02-24 02:30:00,2.05,2.014,2.148,2.338,2.328,2.442,2.01,2.386,2.18,2.016
"144",2024-02-24 02:40:00,2.532,2.605,2.54166666666667,2.506,2.778,2.57,2.328,2.816,2.71,2.204
"145",2024-02-24 02:50:00,3.828,4.38,4.042,3.808,3.766,3.964,3.138,3.496,3.77,3.495
"146",2024-02-24 03:00:00,9.42333333333333,7.752,7.734,7.865,8.14833333333333,8.048,7.785,7.59166666666667,8.61166666666667,7.69
"147",2024-02-24 03:10:00,NA,1.52,1.096,1.656,1.608,1.546,NA,1.744,1.524,1.362
"148",2024-02-24 03:20:00,2.69,3.14,3.108,3.88333333333333,2.988,3.382,3,3.22,3.342,2.782
"149",2024-02-24 03:30:00,1.756,1.882,1.616,NA,1.676,1.942,1.704,1.61,1.642,1.462
"150",2024-02-24 03:40:00,0.694,0.536,0.458,0.585,0.728,0.706,0.546,0.986,0.56,0.536
"151",2024-02-24 03:50:00,0.646,0.69,0.556,0.758,0.842,0.706,0.698,1.08,0.844,0.612
"152",2024-02-24 04:00:00,0.698,0.518,0.728,1.028,0.78,0.91,0.694,0.932,0.68,0.646
"153",2024-02-24 04:10:00,1.272,1.456,1.28,1.468,1.464,1.542,1.388,1.492,1.474,1.248
"154",2024-02-24 04:20:00,8.9,9.93,11.292,10.5266666666667,11.19,10.572,10.25,10.318,10.942,9.326
"155",2024-02-24 04:30:00,0.934,1.26,1.262,NA,1.348,1.312,1.138,1.286,1.318,1.3
