"","timestamp_datetime","GC1_PM2_5","GC2_PM2_5","GC3_PM2_5","GC4_PM2_5","GC5_PM2_5","GC6_PM2_5","GC7_PM2_5","GC8_PM2_5","GC9_PM2_5","GC10_PM2_5"
"81865",2024-02-22 22:44:24,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81867",2024-02-22 22:44:26,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
"81868",2024-02-22 22:44:27,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
"81873",2024-02-22 22:44:32,NA,NA,NA,0,0,NA,NA,NA,NA,NA
"81875",2024-02-22 22:44:34,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
"81876",2024-02-22 22:44:35,NA,NA,NA,NA,NA,NA,0,0,NA,NA
"81879",2024-02-22 22:44:38,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"81985",2024-02-22 22:46:24,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81987",2024-02-22 22:46:26,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
"81988",2024-02-22 22:46:27,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
"81993",2024-02-22 22:46:32,NA,NA,NA,0,0,NA,NA,NA,NA,NA
"81995",2024-02-22 22:46:34,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
"81996",2024-02-22 22:46:35,NA,NA,NA,NA,NA,NA,0,0.05,NA,NA
"81999",2024-02-22 22:46:38,NA,NA,NA,NA,NA,NA,NA,NA,0.14,0
"82105",2024-02-22 22:48:24,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82107",2024-02-22 22:48:26,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
"82108",2024-02-22 22:48:27,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
"82113",2024-02-22 22:48:32,NA,NA,NA,0,0.19,NA,NA,NA,NA,NA
"82115",2024-02-22 22:48:34,NA,NA,NA,NA,NA,0.09,NA,NA,NA,NA
"82116",2024-02-22 22:48:35,NA,NA,NA,NA,NA,NA,0,0,NA,NA
"82119",2024-02-22 22:48:38,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"82225",2024-02-22 22:50:24,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82227",2024-02-22 22:50:26,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
"82228",2024-02-22 22:50:27,NA,NA,0.16,NA,NA,NA,NA,NA,NA,NA
"82233",2024-02-22 22:50:32,NA,NA,NA,0,0,NA,NA,NA,NA,NA
"82235",2024-02-22 22:50:34,NA,NA,NA,NA,NA,0.22,NA,NA,NA,NA
"82236",2024-02-22 22:50:35,NA,NA,NA,NA,NA,NA,0.19,0,NA,NA
"82239",2024-02-22 22:50:38,NA,NA,NA,NA,NA,NA,NA,NA,0.05,NA
"82240",2024-02-22 22:50:39,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"82345",2024-02-22 22:52:24,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82347",2024-02-22 22:52:26,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
"82348",2024-02-22 22:52:27,NA,NA,0.08,NA,NA,NA,NA,NA,NA,NA
"82353",2024-02-22 22:52:32,NA,NA,NA,0.08,0,NA,NA,NA,NA,NA
"82355",2024-02-22 22:52:34,NA,NA,NA,NA,NA,0.12,NA,NA,NA,NA
"82356",2024-02-22 22:52:35,NA,NA,NA,NA,NA,NA,0,0.03,NA,NA
"82359",2024-02-22 22:52:38,NA,NA,NA,NA,NA,NA,NA,NA,0.14,NA
"82360",2024-02-22 22:52:39,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"82446",2024-02-22 22:54:05,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82447",2024-02-22 22:54:06,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
"82449",2024-02-22 22:54:08,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
"82454",2024-02-22 22:54:13,NA,NA,NA,0,0,NA,NA,NA,NA,NA
"82456",2024-02-22 22:54:15,NA,NA,NA,NA,NA,0,NA,0,NA,NA
"82457",2024-02-22 22:54:16,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
"82459",2024-02-22 22:54:18,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
"82480",2024-02-22 22:54:39,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"82566",2024-02-22 22:56:05,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82567",2024-02-22 22:56:06,NA,0.22,NA,NA,NA,NA,NA,NA,NA,NA
"82569",2024-02-22 22:56:08,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
"82574",2024-02-22 22:56:13,NA,NA,NA,0,0,NA,NA,NA,NA,NA
"82576",2024-02-22 22:56:15,NA,NA,NA,NA,NA,0,NA,0.4,NA,NA
"82577",2024-02-22 22:56:16,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
"82579",2024-02-22 22:56:18,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
"82600",2024-02-22 22:56:39,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.27
"82686",2024-02-22 22:58:05,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82687",2024-02-22 22:58:06,NA,0.25,NA,NA,NA,NA,NA,NA,NA,NA
"82689",2024-02-22 22:58:08,NA,NA,0.09,NA,NA,NA,NA,NA,NA,NA
"82694",2024-02-22 22:58:13,NA,NA,NA,0,0,NA,NA,NA,NA,NA
"82696",2024-02-22 22:58:15,NA,NA,NA,NA,NA,0.12,NA,0.23,NA,NA
"82697",2024-02-22 22:58:16,NA,NA,NA,NA,NA,NA,0.03,NA,NA,NA
"82699",2024-02-22 22:58:18,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
"82720",2024-02-22 22:58:39,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"82806",2024-02-22 23:00:05,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82807",2024-02-22 23:00:06,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
"82809",2024-02-22 23:00:08,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
"82814",2024-02-22 23:00:13,NA,NA,NA,0,0.05,NA,NA,NA,NA,NA
"82816",2024-02-22 23:00:15,NA,NA,NA,NA,NA,0,NA,0.34,NA,NA
"82817",2024-02-22 23:00:16,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
"82819",2024-02-22 23:00:18,NA,NA,NA,NA,NA,NA,NA,NA,0.02,NA
"82840",2024-02-22 23:00:39,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"82926",2024-02-22 23:02:05,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82927",2024-02-22 23:02:06,NA,0.15,NA,NA,NA,NA,NA,NA,NA,NA
"82929",2024-02-22 23:02:08,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
"82934",2024-02-22 23:02:13,NA,NA,NA,0,0.1,NA,NA,NA,NA,NA
"82936",2024-02-22 23:02:15,NA,NA,NA,NA,NA,0,NA,0,NA,NA
"82937",2024-02-22 23:02:16,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
"82939",2024-02-22 23:02:18,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
"82960",2024-02-22 23:02:39,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"83046",2024-02-22 23:04:05,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
