UTCDateTime ,pm2_5_atm
2024/03/18T05:47:25z,0.97
2024/03/18T05:49:25z,0.27
2024/03/18T05:51:25z,0.88
2024/03/18T05:53:25z,1.57
2024/03/18T05:55:25z,2.12
2024/03/18T05:57:25z,1.73
2024/03/18T05:59:06z,0.62
2024/03/18T06:01:06z,0.78
2024/03/18T06:03:06z,1.18
2024/03/18T06:05:06z,0.77
2024/03/18T06:07:06z,0.81
2024/03/18T06:09:06z,0.42
2024/03/18T06:11:06z,0.4
2024/03/18T06:13:06z,0.77
2024/03/18T06:15:06z,0.98
2024/03/18T06:17:06z,0.51
2024/03/18T06:18:47z,0.71
2024/03/18T06:20:47z,0.75
2024/03/18T06:22:47z,0.58
2024/03/18T06:24:47z,0.8
2024/03/18T06:26:47z,0.53
2024/03/18T06:28:47z,1.07
2024/03/18T06:30:47z,0.93
2024/03/18T06:32:47z,0.5
2024/03/18T06:34:47z,0.79
2024/03/18T06:36:47z,1.08
2024/03/18T06:38:28z,1.24
2024/03/18T06:40:28z,1.46
2024/03/18T06:42:28z,0.96
2024/03/18T06:44:28z,0.98
2024/03/18T06:46:28z,1.53
2024/03/18T06:48:28z,1.29
2024/03/18T06:50:28z,1.27
2024/03/18T06:52:28z,1.25
2024/03/18T06:54:28z,1.93
2024/03/18T06:56:28z,1.45
2024/03/18T06:58:09z,1.17
2024/03/18T07:00:09z,1.55
2024/03/18T07:02:09z,1.65
2024/03/18T07:04:09z,0.77
2024/03/18T07:06:09z,0.95
2024/03/18T07:08:09z,1.13
2024/03/18T07:10:09z,1.14
2024/03/18T07:12:09z,0.96
2024/03/18T07:14:09z,1.24
2024/03/18T07:16:09z,1.09
2024/03/18T07:17:49z,1.52
2024/03/18T07:19:49z,0.9
2024/03/18T07:21:49z,1
2024/03/18T07:23:49z,0.91
2024/03/18T07:25:49z,1.03
2024/03/18T07:27:49z,1.24
2024/03/18T07:29:49z,1.48
2024/03/18T07:31:49z,1.71
2024/03/18T07:33:49z,1.78
2024/03/18T07:35:49z,1.47
2024/03/18T07:37:30z,1.5
2024/03/18T07:39:30z,1.95
2024/03/18T07:41:30z,1.63
2024/03/18T07:43:30z,1.46
2024/03/18T07:45:30z,1.76
2024/03/18T07:47:30z,2.1
2024/03/18T07:49:30z,2.09
2024/03/18T07:51:30z,2.3
2024/03/18T07:53:30z,1.25
2024/03/18T07:55:30z,1.69
2024/03/18T07:57:10z,2.33
2024/03/18T07:59:10z,1.77
2024/03/18T08:01:10z,2.03
2024/03/18T08:03:10z,2.33
2024/03/18T08:05:10z,2.26
2024/03/18T08:07:10z,2.29
2024/03/18T08:09:10z,2.19
2024/03/18T08:11:10z,1.95
2024/03/18T08:13:10z,2.69
2024/03/18T08:15:10z,2.54
2024/03/18T16:10:38z,7.91
2024/03/18T16:12:38z,7.53
2024/03/18T16:14:38z,8.16
2024/03/18T16:16:38z,7.75
2024/03/18T16:18:38z,6.93
2024/03/18T16:20:38z,7.76
2024/03/18T16:22:38z,7.61
2024/03/18T16:24:38z,6.12
2024/03/18T16:26:38z,6.34
2024/03/18T16:28:38z,8.09
2024/03/18T16:30:20z,7.39
2024/03/18T16:32:20z,7.56
2024/03/18T16:34:20z,7.46
2024/03/18T16:36:20z,7.35
2024/03/18T16:38:20z,7.22
2024/03/18T16:40:20z,6.7
2024/03/18T16:42:20z,6.42
2024/03/18T16:44:20z,7.05
2024/03/18T16:46:20z,6.84
2024/03/18T16:48:20z,6.93
2024/03/18T16:50:00z,7.2
2024/03/18T16:52:00z,7.5
2024/03/18T16:54:00z,7.18
2024/03/18T16:56:00z,6.45
2024/03/18T16:58:00z,6.65
2024/03/18T17:00:00z,6.07
2024/03/18T17:02:00z,7.27
2024/03/18T17:04:00z,6.52
2024/03/18T17:06:00z,6.76
2024/03/18T17:08:00z,8.02
2024/03/18T17:09:41z,6.62
2024/03/18T17:11:41z,7.12
2024/03/18T17:13:41z,6.9
2024/03/18T17:15:41z,6.73
